SD_System,SD_System_Name,SD_Sub_System,SD_Subsystem_Name,discipline,TOTAL ITEM,TOTAL DONE,TOTAL PENDING,TOTAL PUNCH,TOTAL CLEAR PUNCH,TOTAL NOT CLEAR PUNCH,TOTAL HOLD point
1000,Gas Preparation,1000-01,Natural Gas and Desulphurization,INSTRUMENT,166,0.00,0.00,0,0.00,0.00,0.00
1000,Gas Preparation,1000-01,Natural Gas and Desulphurization,MECHANICAL(STATIC),29,0.00,0.00,28,0.00,28.00,0.00
1000,Gas Preparation,1000-01,Natural Gas and Desulphurization,PIPING,53,23.00,22.00,44,7.00,37.00,2.00
1000,Gas Preparation,1000-02,Fuel Gas & Distribution,INSTRUMENT,171,0.00,0.00,0,0.00,0.00,0.00
1000,Gas Preparation,1000-02,Fuel Gas & Distribution,MECHANICAL(STATIC),1,0.00,0.00,0,0.00,0.00,0.00
1000,Gas Preparation,1000-02,Fuel Gas & Distribution,PIPING,30,6.00,14.00,21,4.00,17.00,0.00
1000,Gas Preparation,1000-03,Natural Gas Saturation & Condensate,INSTRUMENT,327,0.00,0.00,0,0.00,0.00,0.00
1000,Gas Preparation,1000-03,Natural Gas Saturation & Condensate,MECHANICAL(ROTARY),9,0.00,0.00,0,0.00,0.00,0.00
1000,Gas Preparation,1000-03,Natural Gas Saturation & Condensate,MECHANICAL(STATIC),19,0.00,0.00,8,0.00,8.00,0.00
1000,Gas Preparation,1000-03,Natural Gas Saturation & Condensate,PIPING,178,134.00,37.00,165,47.00,118.00,1.00
1000,Gas Preparation,1000-04,Gas Station,INSTRUMENT,2,0.00,0.00,0,0.00,0.00,0.00
1000,Gas Preparation,1000-04,Gas Station,PIPING,1,0.00,0.00,0,0.00,0.00,0.00
120,Electrical Distribution Substation,120-01,6kV SWITCHBOARD SS-SWB2A/B-01,ELECTRICAL,627,0.00,0.00,563,0.00,563.00,0.00
120,Electrical Distribution Substation,120-02,0-4KV SWITCHBOARD SS-SWB3A/B-01,ELECTRICAL,864,0.00,0.00,775,0.00,775.00,0.00
120,Electrical Distribution Substation,120-03,0-4KV SWITCHBOARD SS-SWB3A/B-02,ELECTRICAL,768,0.00,0.00,683,0.00,683.00,0.00
120,Electrical Distribution Substation,120-04,0-4KV SWITCHBOARD SS-SWB3A/B-03,ELECTRICAL,628,0.00,0.00,532,0.00,532.00,0.00
120,Electrical Distribution Substation,120-05,0-4KV SWITCHBOARD SS-SWB3A/B-04,ELECTRICAL,632,0.00,0.00,540,0.00,540.00,0.00
120,Electrical Distribution Substation,120-06,0-4KV SWITCHBOARD SS-SWB3A/B-05,ELECTRICAL,679,0.00,0.00,588,0.00,588.00,0.00
120,Electrical Distribution Substation,120-07,0-4KV SWITCHBOARD SS-ESWB3A/B-01,ELECTRICAL,349,0.00,0.00,258,0.00,258.00,0.00
120,Electrical Distribution Substation,120-08,Emergency Diesel Generator SS-DG-5701,ELECTRICAL,8,0.00,0.00,0,0.00,0.00,0.00
120,Electrical Distribution Substation,120-09,CR-UPS-01 for Instrument Supply 190/110 AC UPS,ELECTRICAL,39,0.00,0.00,12,0.00,12.00,0.00
